[stack@b10-h25-r620 ~]$ nova list
/usr/lib/python2.7/site-packages/novaclient/client.py:278: UserWarning: The 'tenant_id' argument is deprecated in Ocata and its use may result in errors in future releases. As 'project_id' is provided, the 'tenant_id' argument will be ignored.
  warnings.warn(msg)
+--------------------------------------+--------------------------+--------+------------+-------------+-------------------------+
| ID                                   | Name                     | Status | Task State | Power State | Networks                |
| 1bde7323-9229-4d3e-8f6f-78a0a0c089d4 | overcloud-osd-compute-26 | ACTIVE | -          | Running     | ctlplane=192.168.24.80  |
| f9b358a5-2667-4b08-a14e-e443c55fc058 | overcloud-osd-compute-27 | ACTIVE | -          | Running     | ctlplane=192.168.24.75  |
| 766eb93a-7762-4402-a323-31548ddf88b2 | overcloud-osd-compute-28 | ACTIVE | -          | Running     | ctlplane=192.168.24.87  |
| 4b4eeed4-9e9e-44b9-bde6-bd8649c5ed66 | overcloud-osd-compute-29 | ACTIVE | -          | Running     | ctlplane=192.168.24.65  |
| 5aea7672-f6fb-46da-b114-12fa177150a4 | overcloud-osd-compute-3  | ACTIVE | -          | Running     | ctlplane=192.168.24.58  |
| a3c7c9b2-c78e-4673-97f9-09fc62879bb0 | overcloud-osd-compute-4  | ACTIVE | -          | Running     | ctlplane=192.168.24.60  |
| 9d245b9a-05df-4921-be9e-ec13d8750150 | overcloud-osd-compute-5  | ACTIVE | -          | Running     | ctlplane=192.168.24.64  |
| 15156750-a2b4-45cd-970c-955a24fb99ba | overcloud-osd-compute-6  | ACTIVE | -          | Running     | ctlplane=192.168.24.63  |
| a0d9d17d-4b95-49ff-b064-b6bd8d98f321 | overcloud-osd-compute-7  | ACTIVE | -          | Running     | ctlplane=192.168.24.72  |
| f2d4bcd0-11f2-41d4-8705-2e816b3cdeb8 | overcloud-osd-compute-8  | ACTIVE | -          | Running     | ctlplane=192.168.24.52  |
| 1dc17b86-3487-4d8f-b1be-ce504400e4cf | overcloud-osd-compute-9  | ACTIVE | -          | Running     | ctlplane=192.168.24.91  |
+--------------------------------------+--------------------------+--------+------------+-------------+-------------------------+
[stack@b10-h25-r620 ~]$
